,LogisticRegression
0,1.8578829765319824
1,1.622176170349121
2,1.0035150051116943
3,0.6165928840637207
4,0.877173900604248
5,0.6595966815948486
6,0.5091087818145752
7,0.9353001117706299
8,1.0411760807037354
9,5.660782814025879
10,0.7579817771911621
11,1.0692601203918457
12,0.5974111557006836
13,5.247626304626465
14,0.6812939643859863
15,0.945842981338501
16,0.6802549362182617
17,1.0387656688690186
18,1.1457018852233887
19,2.1192619800567627
20,0.9222609996795654
21,0.774864912033081
22,0.3920600414276123
23,0.8215351104736328
24,0.6957681179046631
25,1.0947749614715576
26,0.49587488174438477
27,0.7705061435699463
28,1.0092120170593262
29,0.6190869808197021
30,0.9641740322113037
31,1.023972749710083
32,0.8979520797729492
33,0.5578241348266602
34,0.809149980545044
35,0.9430830478668213
36,1.5787699222564697
37,0.5874302387237549
38,0.6955609321594238
39,0.842843770980835
40,0.8737893104553223
41,1.1471381187438965
42,0.536175012588501
43,0.5131590366363525
44,1.0387170314788818
45,1.3609659671783447
46,1.7268128395080566
47,1.0483317375183105
48,0.9318051338195801
49,1.285071849822998
