,SGDClassifier
0,0.37621307373046875
1,0.33764028549194336
2,0.3682217597961426
3,0.41074585914611816
4,0.3678719997406006
5,0.38541269302368164
6,0.5589661598205566
7,0.34309887886047363
8,0.31778478622436523
9,0.37163877487182617
10,0.3317539691925049
11,0.33637189865112305
12,0.3477349281311035
13,0.48537611961364746
14,0.37943506240844727
15,0.3680300712585449
16,0.34235596656799316
17,0.326185941696167
18,0.4123799800872803
19,0.36844611167907715
20,0.5569798946380615
21,0.3892488479614258
22,0.4157378673553467
23,0.510706901550293
24,1.2352898120880127
25,0.42005300521850586
26,0.41132211685180664
27,0.3933837413787842
28,0.45897388458251953
29,0.362623929977417
30,0.5547268390655518
31,0.6387302875518799
32,0.3837859630584717
33,0.33954691886901855
34,0.31586313247680664
35,0.5748128890991211
36,0.416550874710083
37,0.8195381164550781
38,0.43372488021850586
39,0.37102675437927246
40,0.35756993293762207
41,0.32945799827575684
42,0.3435940742492676
43,0.47971582412719727
44,0.37951207160949707
45,0.3631620407104492
46,0.3908810615539551
47,0.3543539047241211
48,0.3621213436126709
49,0.3491678237915039
