,LogisticRegression
0,0.013118267059326172
1,0.009501934051513672
2,0.03328680992126465
3,0.011667013168334961
4,0.007881879806518555
5,0.013955116271972656
6,0.006193876266479492
7,0.017515897750854492
8,0.00972604751586914
9,0.0061151981353759766
10,0.005716085433959961
11,0.020233869552612305
12,0.0193328857421875
13,0.00840616226196289
14,0.006679058074951172
15,0.0056781768798828125
16,0.006896018981933594
17,0.0071430206298828125
18,0.006551027297973633
19,0.008450746536254883
20,0.005652904510498047
21,0.005949974060058594
22,0.007315158843994141
23,0.005633115768432617
24,0.015628814697265625
25,0.006793975830078125
26,0.015114068984985352
27,0.00585484504699707
28,0.010468006134033203
29,0.00783395767211914
30,0.008054018020629883
31,0.009399890899658203
32,0.015178918838500977
33,0.006105184555053711
34,0.006167888641357422
35,0.008404970169067383
36,0.007181882858276367
37,0.00635981559753418
38,0.004765033721923828
39,0.0067446231842041016
40,0.008962869644165039
41,0.01215815544128418
42,0.012848854064941406
43,0.006551980972290039
44,0.017151832580566406
45,0.0077610015869140625
46,0.007157087326049805
47,0.005331277847290039
48,0.007611989974975586
49,0.009469985961914062
50,0.005631923675537109
51,0.008772134780883789
52,0.006840944290161133
53,0.007459878921508789
54,0.008242130279541016
55,0.017251968383789062
56,0.011857986450195312
57,0.007164955139160156
58,0.006270885467529297
59,0.005090236663818359
60,0.005869865417480469
61,0.0061490535736083984
62,0.005246877670288086
63,0.007594108581542969
64,0.010106086730957031
65,0.009141683578491211
66,0.008732080459594727
67,0.006714820861816406
68,0.006637096405029297
69,0.0070667266845703125
70,0.010048151016235352
71,0.005861759185791016
72,0.006140708923339844
73,0.006833791732788086
74,0.0063190460205078125
75,0.008590936660766602
76,0.006994009017944336
77,0.0063838958740234375
78,0.00647282600402832
79,0.011982202529907227
80,0.007551908493041992
81,0.01132512092590332
82,0.006020069122314453
83,0.005857944488525391
84,0.005391836166381836
85,0.004923105239868164
86,0.011870861053466797
87,0.010625839233398438
88,0.009228944778442383
89,0.0066339969635009766
90,0.008987903594970703
91,0.007235050201416016
92,0.007417201995849609
93,0.007184028625488281
94,0.0059680938720703125
95,0.005712985992431641
96,0.006619930267333984
97,0.009523868560791016
98,0.010378837585449219
99,0.005116939544677734
100,0.0067081451416015625
101,0.006781816482543945
102,0.005763053894042969
103,0.009029865264892578
104,0.005608081817626953
105,0.0059969425201416016
106,0.0084991455078125
107,0.005690097808837891
108,0.007175922393798828
109,0.005997896194458008
110,0.013942956924438477
111,0.012521028518676758
112,0.02598404884338379
113,0.01621079444885254
114,0.011521100997924805
115,0.016070842742919922
116,0.010088205337524414
117,0.008701801300048828
118,0.010101795196533203
119,0.00689387321472168
120,0.010874032974243164
121,0.010110855102539062
122,0.021075963973999023
123,0.014588117599487305
124,0.01043701171875
125,0.007183074951171875
126,0.009746789932250977
127,0.015357017517089844
128,0.018280982971191406
129,0.008896112442016602
130,0.004821062088012695
131,0.009459972381591797
132,0.006206989288330078
133,0.008746147155761719
134,0.007550954818725586
135,0.011075735092163086
136,0.0073888301849365234
137,0.00896000862121582
138,0.006680965423583984
139,0.011219978332519531
140,0.013074874877929688
141,0.0053942203521728516
142,0.0062808990478515625
143,0.011001110076904297
144,0.0046842098236083984
145,0.005261898040771484
146,0.005866050720214844
147,0.005911111831665039
148,0.010309219360351562
149,0.008334875106811523
150,0.009203195571899414
151,0.005368709564208984
152,0.009135007858276367
153,0.008356809616088867
154,0.005024909973144531
155,0.006646871566772461
156,0.004846811294555664
157,0.005067110061645508
158,0.005898952484130859
159,0.009816169738769531
160,0.0068340301513671875
161,0.008800983428955078
162,0.0050601959228515625
163,0.004405975341796875
164,0.007150888442993164
165,0.006500720977783203
166,0.008443117141723633
167,0.006963968276977539
168,0.005617856979370117
169,0.004740238189697266
170,0.006948709487915039
171,0.008440971374511719
172,0.0074727535247802734
173,0.013491153717041016
174,0.004601955413818359
175,0.005517721176147461
176,0.005530118942260742
177,0.006265163421630859
178,0.015000104904174805
179,0.011540889739990234
180,0.0051000118255615234
181,0.0058460235595703125
182,0.005795001983642578
183,0.005980014801025391
184,0.014462947845458984
185,0.00478672981262207
186,0.006285905838012695
187,0.01248931884765625
188,0.004914045333862305
189,0.005651235580444336
190,0.009927749633789062
191,0.007270097732543945
192,0.004750967025756836
193,0.00826716423034668
194,0.006435871124267578
195,0.008127927780151367
196,0.005838871002197266
197,0.007340669631958008
198,0.0065097808837890625
199,0.00481104850769043
200,0.005626201629638672
201,0.005858898162841797
202,0.0046329498291015625
203,0.004662990570068359
204,0.0044269561767578125
205,0.008352994918823242
206,0.010659217834472656
207,0.005995988845825195
208,0.004248857498168945
209,0.005620002746582031
210,0.010557889938354492
211,0.015718936920166016
212,0.0070400238037109375
213,0.005112171173095703
214,0.0052490234375
215,0.011790990829467773
216,0.006372690200805664
217,0.005671977996826172
218,0.009282112121582031
219,0.007155895233154297
220,0.0045680999755859375
221,0.005457162857055664
222,0.01004791259765625
223,0.00952291488647461
224,0.006058931350708008
225,0.0066070556640625
226,0.00709986686706543
227,0.009861946105957031
228,0.007932186126708984
229,0.013029098510742188
230,0.006793975830078125
231,0.0066640377044677734
232,0.01110386848449707
233,0.004994869232177734
234,0.00603485107421875
235,0.009567022323608398
236,0.008280038833618164
237,0.008367061614990234
238,0.00814676284790039
239,0.009572267532348633
240,0.005463123321533203
241,0.007482767105102539
242,0.01271510124206543
243,0.006134033203125
244,0.007090330123901367
245,0.005057096481323242
246,0.005841732025146484
247,0.011844873428344727
248,0.005407810211181641
249,0.00612187385559082
250,0.0062408447265625
251,0.01052999496459961
252,0.005793094635009766
253,0.00481104850769043
254,0.007651090621948242
255,0.008686065673828125
256,0.006694793701171875
257,0.007409095764160156
258,0.004948854446411133
259,0.005847930908203125
260,0.009879112243652344
261,0.006215810775756836
262,0.006542682647705078
263,0.006072998046875
264,0.0058078765869140625
265,0.004474163055419922
266,0.006768941879272461
267,0.004637956619262695
268,0.006895303726196289
269,0.006307125091552734
270,0.0067179203033447266
271,0.00521397590637207
272,0.007992029190063477
273,0.0042209625244140625
274,0.0053369998931884766
275,0.007311105728149414
276,0.005966663360595703
277,0.00857090950012207
278,0.009037971496582031
279,0.009887933731079102
280,0.009080886840820312
281,0.00973200798034668
282,0.008542299270629883
283,0.015678882598876953
284,0.0067560672760009766
285,0.005506038665771484
286,0.007562160491943359
287,0.0053479671478271484
288,0.005822896957397461
289,0.008129119873046875
290,0.009936094284057617
291,0.008928775787353516
292,0.00451207160949707
293,0.009092092514038086
294,0.0068759918212890625
295,0.006179094314575195
296,0.004498958587646484
297,0.005484819412231445
298,0.0052258968353271484
299,0.006953001022338867
