,LogisticRegression
0,0.026867389678955078
1,0.008736848831176758
2,0.0089263916015625
3,0.009351968765258789
4,0.030104875564575195
5,0.01753520965576172
6,0.008671045303344727
7,0.010479927062988281
8,0.010050058364868164
9,0.01723790168762207
10,0.01096200942993164
11,0.013068914413452148
12,0.02183222770690918
13,0.03348112106323242
14,0.00910806655883789
15,0.010215282440185547
16,0.008333206176757812
17,0.007009983062744141
18,0.00884389877319336
19,0.007311105728149414
20,0.02285909652709961
21,0.010262012481689453
22,0.007937192916870117
23,0.015297889709472656
24,0.009347915649414062
25,0.009997129440307617
26,0.008144855499267578
27,0.010798931121826172
28,0.009128808975219727
29,0.01714611053466797
30,0.007650136947631836
31,0.015011072158813477
32,0.01428985595703125
33,0.0068569183349609375
34,0.007622718811035156
35,0.015270233154296875
36,0.009714841842651367
37,0.006988048553466797
38,0.015390872955322266
39,0.00815582275390625
40,0.01373291015625
41,0.015878915786743164
42,0.008992910385131836
43,0.008580207824707031
44,0.00829315185546875
45,0.011928796768188477
46,0.016770124435424805
47,0.014092206954956055
48,0.006596803665161133
49,0.008285045623779297
50,0.006304025650024414
51,0.008030176162719727
52,0.01114201545715332
53,0.008284330368041992
54,0.017452716827392578
55,0.011070013046264648
56,0.00825810432434082
57,0.008625984191894531
58,0.00970911979675293
59,0.009156942367553711
60,0.012826204299926758
61,0.009453058242797852
62,0.011876821517944336
63,0.00963592529296875
64,0.011749744415283203
65,0.0051877498626708984
66,0.009362220764160156
67,0.026161909103393555
68,0.012430191040039062
69,0.013532876968383789
70,0.024219036102294922
71,0.01568889617919922
72,0.004127025604248047
73,0.008243083953857422
74,0.010632991790771484
75,0.016026973724365234
76,0.01341390609741211
77,0.0074579715728759766
78,0.020554065704345703
79,0.012226104736328125
80,0.018746137619018555
81,0.008000850677490234
82,0.009018898010253906
83,0.009192943572998047
84,0.009089231491088867
85,0.012262821197509766
86,0.01220393180847168
87,0.011503219604492188
88,0.01121377944946289
89,0.01605510711669922
90,0.010493040084838867
91,0.0074748992919921875
92,0.013710975646972656
93,0.011842966079711914
94,0.010963201522827148
95,0.016136884689331055
96,0.01638197898864746
97,0.024557828903198242
98,0.012126922607421875
99,0.01061701774597168
100,0.008790016174316406
101,0.009278059005737305
102,0.010637998580932617
103,0.01241612434387207
104,0.025284767150878906
105,0.009628772735595703
106,0.019287109375
107,0.013934135437011719
108,0.012063026428222656
109,0.01778578758239746
110,0.011508941650390625
111,0.006670951843261719
112,0.015681982040405273
113,0.023840904235839844
114,0.011394023895263672
